carID,price,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
13207,31995,hyundi, Santa Fe,2019,Semi-Auto,4223,Diesel,145,39.8,2.2
17314,7700,vauxhall, GTC,2015,Manual,47870,Diesel,125,60.1,2
12342,58990,audi, RS4,2019,Automatic,5151,Petrol,145,29.1,2.9
13426,12999,vw, Scirocco,2016,Automatic,20423,Diesel,30,57.6,2
16004,16990,skoda, Scala,2020,Semi-Auto,3569,Petrol,145,47.1,1
18964,40890,merc, V Class,2019,Automatic,4170,Diesel,145,44.1,2.1
17053,25990,toyota, Prius,2020,Automatic,3,Hybrid,135,64.2,1.8
19021,41980,bmw, M4,2019,Semi-Auto,101,Petrol,145,34,3
17429,25490,toyota, Camry,2019,Automatic,6340,Hybrid,135,52.3,2.5
16726,3491,ford, KA,2012,Manual,85843,Petrol,30,57.7,1.2
17081,13750,vauxhall, Vivaro,2016,Manual,40230,Diesel,160,50.4,1.6
18995,17999,merc, CLS Class,2016,Automatic,47156,Diesel,125,57.7,2.1
13055,46050,vw, Caravelle,2019,Automatic,5000,Diesel,145,33.6,2
12510,20498,vw, Arteon,2018,Semi-Auto,20656,Petrol,145,47.1,2
13430,22750,vw, Shuttle,2018,Manual,31824,Diesel,145,47.1,2
19049,16000,hyundi, I40,2019,Manual,20,Diesel,145,52.3,1.6
17822,6890,hyundi, IX20,2015,Automatic,34878,Petrol,200,43.6,1.6
16655,31269,hyundi, Santa Fe,2019,Automatic,9970,Diesel,145,39.2,2.2
18480,25998,bmw, 6 Series,2017,Semi-Auto,18895,Diesel,145,51.4,3
16270,17999,merc, GL Class,2016,Automatic,11653,Diesel,20,67.3,2.1
14435,37500,merc, S Class,2017,Automatic,12653,Diesel,145,52.3,3
13161,4995,ford, KA,2015,Manual,17041,Petrol,30,57.7,1.2
12817,17950,audi, S3,2015,Manual,48800,Petrol,205,39.8,2
12857,13495,skoda, Yeti,2016,Semi-Auto,13156,Petrol,125,51.4,1.2
13738,5475,ford, Galaxy,2009,Manual,58000,Diesel,200,44.8,1.8
18374,23000,ford, Puma,2020,Manual,363,Petrol,145,50.4,1
13105,18640,ford, Edge,2016,Manual,24105,Diesel,160,48.7,2
15122,41606,audi, A8,2019,Automatic,2117,Diesel,145,40.4,3
17363,10498,merc, SLK,2013,Semi-Auto,44226,Diesel,145,56.5,2
16597,12912,vw, Scirocco,2016,Manual,44015,Diesel,30,53.3,2
15848,20399,merc, CLS Class,2016,Automatic,16107,Diesel,160,51.4,3
15114,20999,skoda, Kamiq,2019,Semi-Auto,3597,Petrol,145,44.1,1.5
13714,21998,merc, CLS Class,2016,Semi-Auto,29306,Diesel,160,51.4,3
14648,49950,audi, RS6,2016,Semi-Auto,22500,Petrol,325,29.4,4
13750,18995,toyota, Prius,2017,Automatic,20828,Hybrid,135,94.1,1.8
13995,16490,skoda, Scala,2019,Automatic,510,Diesel,145,54.3,1.6
15017,11850,vw, Scirocco,2016,Manual,40000,Petrol,125,52.3,1.4
14255,26090,vw, Arteon,2019,Semi-Auto,5101,Diesel,145,50.4,2
18540,15650,skoda, Scala,2019,Manual,1149,Petrol,145,49.6,1
13827,17800,toyota, Prius,2017,Automatic,33710,Hybrid,135,94.1,1.8
12626,17590,merc, CLA Class,2017,Automatic,53159,Diesel,125,58.9,2.1
17894,14495,vw, Caravelle,2006,Manual,106000,Diesel,325,34.4,2.5
16871,42995,toyota, Land Cruiser,2019,Semi-Auto,16634,Diesel,145,30.1,2.8
13987,49991,merc, V Class,2019,Automatic,10,Diesel,145,36.7,2
14061,21498,merc, M Class,2015,Semi-Auto,43339,Diesel,200,39.2,2.1
12573,7724,merc, S Class,2009,Automatic,122000,Diesel,325,36.7,3
15725,12995,hyundi, I40,2016,Manual,18340,Diesel,125,60.1,1.7
15629,29990,vw, Arteon,2020,Semi-Auto,2555,Diesel,145,53.3,2
18127,29998,merc, V Class,2018,Semi-Auto,40479,Diesel,145,45.6,2.2
13957,50786,audi, Q8,2019,Automatic,4278,Diesel,145,33.6,3
13304,19948,bmw, i3,2017,Automatic,20929,Hybrid,135,470.8,0
12774,12990,toyota, Verso,2017,Semi-Auto,19807,Petrol,200,42.8,1.8
12733,16999,hyundi, Santa Fe,2016,Automatic,20960,Diesel,235,42.8,2.2
19535,34390,merc, CLS Class,2018,Automatic,16568,Diesel,145,48.7,2.9
12144,27500,ford, Mustang,2017,Manual,20700,Petrol,150,20.9,5
16299,27498,vw, Arteon,2019,Manual,40,Diesel,150,52.3,2
13920,22490,merc, CLS Class,2017,Semi-Auto,31479,Diesel,145,57.7,2.1
19103,5475,hyundi, IX35,2011,Manual,79000,Petrol,205,41.5,1.6
17287,18995,vw, Amarok,2015,Manual,43935,Diesel,260,35.3,2
17146,12998,toyota, Avensis,2018,Automatic,35507,Petrol,145,44.1,1.8
18095,12298,ford, Grand Tourneo Connect,2017,Manual,17442,Diesel,30,64.2,1.5
18554,20995,ford, Galaxy,2016,Semi-Auto,20486,Diesel,145,52.3,2
12271,18690,toyota, Prius,2016,Automatic,23300,Hybrid,0,85.6,1.8
16431,6790,vauxhall, Antara,2014,Manual,27495,Diesel,235,44.1,2.2
18935,15999,skoda, Scala,2019,Other,3500,Petrol,145,47.1,1
12864,5990,merc, M Class,2008,Automatic,110000,Diesel,555,28.8,3
19110,20000,ford, Puma,2019,Manual,1085,Petrol,145,51.4,1
18626,20950,ford, Tourneo Connect,2020,Automatic,409,Diesel,145,44.1,1.5
14590,7795,vw, Beetle,2015,Manual,55239,Petrol,145,47.9,1.2
18512,22000,bmw, X4,2017,Automatic,58056,Diesel,145,54.3,2
14983,6775,merc, SLK,2008,Automatic,65000,Petrol,290,34.4,1.8
18999,9995,vw, CC,2015,Semi-Auto,54231,Diesel,150,53.3,2
15719,19999,ford, Edge,2016,Automatic,24641,Diesel,160,48.7,2
15162,49980,bmw, M4,2020,Semi-Auto,1000,Petrol,145,34,3
18468,15998,toyota, GT86,2017,Manual,26919,Petrol,260,36.2,2
17832,25998,merc, GL Class,2013,Automatic,60462,Diesel,325,35.3,3
13321,18390,bmw, X4,2015,Manual,53197,Diesel,160,52.3,2
15401,24945,merc, X-CLASS,2019,Automatic,500,Diesel,260,35.8,2.3
16001,20500,bmw, X4,2016,Automatic,42576,Diesel,200,47.9,3
13112,14998,hyundi, I800,2016,Automatic,17110,Diesel,325,33.6,2.5
12567,57870,bmw, i8,2018,Automatic,11278,Hybrid,135,134.5,1.5
12366,46980,merc, S Class,2019,Semi-Auto,7659,Diesel,145,52.3,3
17137,9498,vw, Caddy Maxi Life,2014,Manual,56716,Diesel,200,48.7,1.6
12304,13965,toyota, Verso,2018,Manual,7074,Diesel,145,62.8,1.6
15538,27890,ford, Mustang,2017,Semi-Auto,26452,Petrol,580,23.5,5
14711,6795,hyundi, IX20,2015,Manual,29000,Petrol,125,50.4,1.4
14728,13400,skoda, Yeti,2017,Semi-Auto,15000,Petrol,125,51.4,1.2
18636,24295,vw, Caddy Maxi Life,2019,Semi-Auto,1374,Diesel,145,46.3,2
17353,22290,vw, Arteon,2017,Semi-Auto,6502,Petrol,145,47.1,2
18198,16000,vauxhall, Combo Life,2019,Manual,805,Petrol,145,42.2,1.2
16125,17200,merc, CLA Class,2017,Automatic,10626,Petrol,145,53.3,1.6
16182,12000,vw, Scirocco,2014,Manual,43198,Diesel,30,62.8,2
14106,42489,ford, Mustang,2020,Automatic,3500,Petrol,145,22.1,5
12516,7450,skoda, Rapid,2017,Manual,55115,Diesel,0,74.3,1.6
15589,23795,vw, Arteon,2019,Semi-Auto,6183,Diesel,145,50.4,2
17108,36790,merc, X-CLASS,2018,Automatic,9500,Diesel,260,31.4,3
15995,19199,bmw, 6 Series,2015,Automatic,22797,Diesel,160,49.6,3
17306,27000,merc, S Class,2015,Automatic,30782,Hybrid,20,64.2,2.1
15389,17000,ford, Edge,2017,Manual,45386,Diesel,160,48.7,2
17200,5995,vw, Scirocco,2011,Semi-Auto,120000,Diesel,125,57.6,2
16250,15599,merc, GL Class,2015,Automatic,54965,Diesel,125,55.4,2.1
17633,26000,vw, Amarok,2017,Automatic,22000,Diesel,260,36.2,3
12751,30995,vw, Amarok,2018,Automatic,23371,Diesel,265,36.2,3
16375,52888,audi, SQ7,2017,Automatic,12000,Diesel,145,39.2,4
14138,20499,merc, M Class,2014,Automatic,37986,Diesel,300,39.2,3
19006,9999,ford, Grand C-MAX,2016,Manual,28772,Diesel,30,64.2,1.5
13168,4495,hyundi, Santa Fe,2009,Manual,95000,Diesel,305,38.7,2.2
12962,10000,hyundi, IX20,2017,Manual,12245,Petrol,150,50.4,1.4
13937,11500,toyota, Prius,2013,Automatic,33905,Hybrid,0,70.6,1.8
14085,15979,vauxhall, Combo Life,2018,Manual,10070,Diesel,145,53.3,1.5
14766,17100,bmw, i3,2016,Automatic,25269,Other,0,470.8,0.6
14970,10275,toyota, Avensis,2016,Manual,40312,Diesel,200,46.3,1.6
18264,15298,ford, Tourneo Custom,2016,Manual,62505,Diesel,200,46.3,2
16053,51402,bmw, M4,2020,Semi-Auto,101,Petrol,145,34,3
14282,69994,vw, California,2019,Semi-Auto,3544,Diesel,260,29.1,2
17578,16459,hyundi, I800,2018,Manual,33610,Diesel,145,31.7,2.5
12959,3595,vauxhall, Agila,2014,Manual,45400,Petrol,20,60.1,1
14635,23995,merc, M Class,2015,Semi-Auto,30657,Diesel,200,39.2,2.1
15032,22999,audi, A7,2017,Semi-Auto,24337,Diesel,150,55.4,3
19005,18500,hyundi, I800,2019,Manual,14674,Diesel,145,31.7,2.5
13177,19952,skoda, Scala,2020,Manual,1652,Petrol,145,47.9,1.5
18255,8850,vauxhall, Zafira Tourer,2016,Manual,44500,Diesel,30,62.7,1.6
14720,25000,ford, Mustang,2018,Manual,21632,Petrol,145,35.3,2.3
17624,16250,merc, CLA Class,2015,Automatic,32895,Diesel,20,67.3,2.1
14174,17958,ford, Galaxy,2017,Manual,36123,Diesel,125,56.5,2
13816,16990,vauxhall, Combo Life,2019,Manual,7821,Diesel,145,53.3,1.5
19544,14498,toyota, Prius,2013,Automatic,68057,Hybrid,0,68.9,1.8
19165,37790,toyota, Land Cruiser,2017,Automatic,11356,Diesel,145,38.2,2.8
16138,17898,bmw, 6 Series,2014,Semi-Auto,64215,Diesel,160,49.6,3
16606,13490,ford, Grand Tourneo Connect,2016,Manual,13608,Diesel,30,64.2,1.5
13514,16781,toyota, Verso,2017,Semi-Auto,19432,Petrol,150,43.5,1.8
15644,33990,merc, CLS Class,2018,Semi-Auto,8123,Diesel,145,48.7,2.9
16918,13300,vauxhall, Combo Life,2018,Manual,14066,Diesel,145,53.3,1.5
18085,135124,merc, G Class,2018,Semi-Auto,18234,Petrol,150,21.4,4
13226,33290,vw, Tiguan Allspace,2019,Semi-Auto,3500,Diesel,145,38.7,2
16908,5995,ford, Grand C-MAX,2011,Automatic,90000,Diesel,200,48.7,2
14628,33450,bmw, X6,2018,Automatic,35706,Diesel,145,47.1,3
12058,24000,ford, Edge,2018,Semi-Auto,9412,Diesel,150,47.9,2
16049,18500,merc, CLA Class,2016,Automatic,30106,Diesel,125,58.9,2.1
14951,15495,toyota, Verso,2017,Semi-Auto,6800,Petrol,145,42.8,1.8
17375,46000,bmw, M2,2020,Semi-Auto,1501,Petrol,145,29.1,3
17153,17299,merc, GL Class,2015,Automatic,29520,Diesel,125,55.4,2.1
15618,16799,merc, GL Class,2015,Automatic,40659,Diesel,125,56.5,2.1
12237,13650,merc, SLK,2014,Semi-Auto,34170,Petrol,200,43.5,2
15590,24500,bmw, X4,2017,Semi-Auto,22768,Diesel,145,54.3,2
16631,19200,merc, CLS Class,2016,Automatic,33000,Diesel,145,56.5,2.1
13486,20795,toyota, Prius,2017,Automatic,3881,Hybrid,135,235,1.8
12712,12998,vw, Scirocco,2015,Manual,22442,Diesel,20,55.4,2
19392,16299,merc, SLK,2016,Automatic,39820,Diesel,30,70.6,2.1
16328,17495,skoda, Scala,2020,Manual,55,Petrol,145,49.6,1
12198,76970,bmw, X7,2019,Semi-Auto,10,Diesel,145,31.4,3
18013,24690,vw, Arteon,2019,Manual,3248,Diesel,145,52.3,2
15711,19899,hyundi, Santa Fe,2017,Semi-Auto,37123,Diesel,150,42.8,2.2
18094,11000,vw, Beetle,2015,Manual,26196,Petrol,205,42.8,1.4
17638,30700,vw, Amarok,2019,Automatic,6822,Diesel,260,33.6,3
16418,11795,skoda, Rapid,2018,Semi-Auto,13553,Petrol,145,58.9,1
17341,19990,merc, V Class,2018,Manual,30577,Diesel,145,46.3,2.1
12466,34399,audi, A8,2018,Automatic,11300,Diesel,145,50.4,3
18571,15199,vw, Scirocco,2016,Manual,22687,Diesel,20,55.4,2
16449,7280,vauxhall, GTC,2015,Manual,33217,Diesel,125,60.1,2
19133,48000,audi, A8,2019,Automatic,5900,Diesel,145,50.4,3
18228,21495,bmw, i3,2017,Automatic,24041,Hybrid,0,470.8,0
14031,14075,vw, Scirocco,2017,Manual,44081,Petrol,145,47.1,2
14233,19500,ford, Galaxy,2016,Automatic,24664,Diesel,150,52.3,2
15137,47890,bmw, 7 Series,2019,Automatic,7414,Diesel,145,44.8,3
16284,29399,vw, Tiguan Allspace,2020,Semi-Auto,2334,Petrol,145,35.8,1.5
15868,11999,ford, Grand C-MAX,2018,Manual,21384,Petrol,145,54.3,1
17964,7495,skoda, Rapid,2014,Semi-Auto,40468,Petrol,145,48.7,1.4
13289,19750,merc, V Class,2018,Automatic,15232,Diesel,145,48.7,2.1
19266,46795,vw, Caravelle,2019,Semi-Auto,6280,Diesel,145,33.6,2
19588,27994,vw, Shuttle,2018,Semi-Auto,16203,Diesel,145,47.1,2
14704,17999,ford, Galaxy,2017,Manual,35495,Diesel,125,56.5,2
17741,17500,merc, M Class,2013,Automatic,84000,Diesel,205,44.8,2.1
17237,11891,ford, Grand C-MAX,2017,Manual,11373,Petrol,30,54.3,1
17034,14990,vauxhall, Combo Life,2019,Manual,7300,Petrol,145,42.2,1.2
12856,17995,ford, Tourneo Custom,2017,Manual,33650,Diesel,235,44.1,2
19143,32970,bmw, Z4,2019,Automatic,467,Petrol,145,38.7,2
14566,53990,audi, RS5,2019,Automatic,2000,Petrol,145,30.1,2.9
17941,9185,skoda, Rapid,2017,Manual,33599,Diesel,145,74.3,1.6
12741,17900,ford, Edge,2016,Manual,27500,Diesel,160,48.7,2
13910,12498,ford, Grand C-MAX,2017,Manual,25243,Diesel,30,64.2,1.5
18166,9475,vw, Scirocco,2015,Manual,90000,Diesel,30,53.3,2
12679,13995,ford, Grand Tourneo Connect,2016,Manual,30000,Diesel,125,61.4,1.5
17823,25390,vw, Arteon,2019,Manual,100,Diesel,150,52.3,2
12616,17000,toyota, GT86,2017,Manual,14345,Petrol,150,36.2,2
14906,23994,toyota, Hilux,2018,Automatic,16734,Diesel,265,36.2,2.4
19480,38343,merc, GLS Class,2017,Automatic,26452,Diesel,305,37.2,3
12404,21150,audi, A7,2017,Semi-Auto,34132,Diesel,30,62.8,3
14654,8485,skoda, Rapid,2017,Manual,32657,Diesel,0,74.3,1.6
12051,28995,vw, Arteon,2019,Automatic,7865,Diesel,145,50.4,2
16714,26999,vw, Tiguan Allspace,2019,Semi-Auto,5000,Diesel,150,44.1,2
19494,20480,vw, Shuttle,2019,Manual,3615,Diesel,145,38.2,2
17444,22000,toyota, Prius,2018,Automatic,20252,Hybrid,135,85.6,1.8
16879,8299,ford, KA,2018,Manual,5007,Petrol,145,57.7,1.2
17522,6985,skoda, Rapid,2016,Manual,49093,Diesel,0,74.3,1.6
18082,17390,hyundi, Santa Fe,2016,Manual,10200,Diesel,200,46.3,2.2
19058,14800,toyota, Verso,2017,Automatic,33989,Other,165,43.5,1.8
16026,16490,skoda, Scala,2020,Manual,5234,Petrol,145,49.6,1
13200,4650,audi, A8,1997,Automatic,122000,Petrol,265,18.9,4.2
13675,8189,hyundi, IX20,2016,Manual,28500,Petrol,125,50.4,1.4
12640,10499,ford, Grand Tourneo Connect,2015,Manual,54429,Diesel,125,58.9,1.6
12978,20842,hyundi, Santa Fe,2018,Manual,21588,Diesel,145,47.1,2.2
14076,109995,merc, S Class,2019,Semi-Auto,4688,Petrol,150,31.7,4
14577,39480,merc, GLB Class,2020,Semi-Auto,29,Diesel,145,46.3,2
13575,15990,merc, M Class,2013,Automatic,51800,Diesel,200,44.8,2.1
18682,52700,bmw, 7 Series,2019,Semi-Auto,706,Diesel,145,44.1,3
18078,56000,audi, Q8,2019,Automatic,945,Diesel,145,33.6,3
18478,15999,merc, GL Class,2015,Automatic,42073,Diesel,125,55.4,2.1
19141,28675,merc, X-CLASS,2019,Automatic,39,Diesel,260,35.8,2.3
16974,67989,bmw, X7,2019,Semi-Auto,17561,Petrol,145,24.8,3
16006,44950,audi, RS6,2015,Automatic,24987,Petrol,315,29.4,4
12653,6688,skoda, Yeti,2013,Manual,67235,Diesel,200,47.1,2
16813,20750,ford, Edge,2017,Semi-Auto,20045,Diesel,160,48.7,2
16936,39950,bmw, M4,2017,Automatic,5735,Petrol,145,32.5,3
14033,18998,ford, Edge,2017,Semi-Auto,41726,Diesel,160,48.7,2
18363,9240,vauxhall, GTC,2016,Automatic,44310,Petrol,200,42.8,1.4
16900,19999,ford, Edge,2017,Manual,22922,Diesel,160,48.7,2
18025,15990,vauxhall, Combo Life,2019,Manual,17957,Diesel,145,53.3,1.5
13848,25460,merc, S Class,2015,Automatic,46757,Diesel,205,47.9,3
16208,48995,audi, Q8,2019,Semi-Auto,4488,Diesel,145,33.6,3
13841,13490,toyota, Verso,2016,Semi-Auto,13992,Petrol,165,43.5,1.8
14265,3990,merc, SLK,2001,Automatic,48172,Petrol,325,30,2.3
18586,9500,ford, KA,2018,Manual,10691,Petrol,150,47.9,1.2
12925,18999,ford, Galaxy,2017,Manual,32750,Diesel,125,56.5,2
18548,34000,vw, Arteon,2019,Automatic,1000,Diesel,145,37.7,2
12493,10400,vw, Beetle,2013,Manual,38333,Petrol,235,37.2,2
18806,17995,toyota, Prius,2013,Automatic,58852,Other,10,64.2,1.8
14276,32000,vw, Amarok,2018,Automatic,5673,Diesel,260,33.6,3
18194,7990,skoda, Rapid,2015,Manual,28301,Petrol,20,57.7,1.2
17162,36999,hyundi, Santa Fe,2020,Semi-Auto,6000,Diesel,150,39.2,2.2
